2018 Rank,City Name,State Name,2018 Estimate,2010 Census,Change (%),2016 Land Area (sq mi),2016 Land Area (sq km),2016 Population Density (per sq mi),2016 Population Density (per sq km),Location,Mayor,Time Zone (Summer),Area Codes
207,Columbia,South Carolina,133451,129272,+3.23,133.5  ,345.8 ,1006 ,388, ﻿34.0291°N 80.8980°W﻿ ,stephen k. benjamin ,utc-4 (edt),803
208,Cedar Rapids,Iowa,133174,126326,+5.42,70.8  ,183.4 ,1852 ,715, ﻿41.9670°N 91.6778°W﻿ ,brad hart ,utc-5 (cdt),319
209,Sterling Heights,Michigan,132964,129699,+2.52,36.5  ,94.5 ,3628 ,1401, ﻿42.5812°N 83.0303°W﻿ ,michael c. taylor,utc−4 (edt),586
210,New Haven,Connecticut,130418,129779,+0.49,18.7  ,48.4 ,6948 ,2683, ﻿41.3108°N 72.9250°W﻿ ,toni harp ,utc−4 (eastern),203/475
211,Stamford,Connecticut,129775,122643,+5.82,37.6  ,97.4 ,3434 ,1326, ﻿41.0799°N 73.5460°W﻿ ,david martin ,utc-4 (eastern),203/475
212,Concord,California,129688,122067,+6.24,30.5  ,79.0 ,4221 ,1630, ﻿37.9722°N 122.0016°W﻿ ,carlyn obringer[3],utc−7 (pdt),925
213,Kent,Washington,129618,92411,+40.26,33.7  ,87.3 ,3784 ,1461, ﻿47.3880°N 122.2127°W﻿ ,dana ralph ,utc-7 (pdt),253
214,Santa Clara,California,129488,116468,+11.18,18.4  ,47.7 ,6845 ,2643, ﻿37.3646°N 121.9679°W﻿ ,nan,utc−7 (pdt),408/669
215,Elizabeth,New Jersey,128885,124969,+3.13,12.3  ,31.9 ,10459 ,4038, ﻿40.6664°N 74.1935°W﻿ ,"j. christian ""chris"" bollwage ",utc−04:00 (eastern (edt)),908[17]
216,Round Rock,Texas,128739,99887,+28.88,35.6  ,92.2 ,3396 ,1311, ﻿30.5252°N 97.6660°W﻿ ,nan,utc−5 (cdt),512 & 737
217,Thousand Oaks,California,127690,126683,+0.79,55.2  ,143.0 ,2335 ,902, ﻿34.1933°N 118.8742°W﻿ ,andy fox ,utc−7 (pdt),805/820
218,Lafayette,Louisiana,126143,120623,+4.58,53.8  ,139.3 ,2372 ,916, ﻿30.2074°N 92.0285°W﻿ ,nan,nan,nan
219,Athens,Georgia,125964,115452,+9.11,116.4  ,301.5 ,1060 ,410, ﻿33.9496°N 83.3701°W﻿ ,kelly girtz [1],utc−4 (edt),706/762
220,Topeka,Kansas,125904,127473,−1.23,61.5  ,159.3 ,2062 ,796, ﻿39.0347°N 95.6962°W﻿ ,michelle de la isla[3],utc-5 (cdt),785
221,Simi Valley,California,125851,124237,+1.30,41.5  ,107.5 ,3044 ,1175, ﻿34.2669°N 118.7485°W﻿ ,nan,utc−7 (pdt),805
222,Fargo,North Dakota,124844,105549,+18.28,49.3  ,127.7 ,2450 ,950, ﻿46.8652°N 96.8290°W﻿ ,tim mahoney,utc-5 (cdt),701
223,Norman,Oklahoma,123471,110925,+11.31,178.8  ,463.1 ,683 ,264, ﻿35.2406°N 97.3453°W﻿ ,lynne miller,utc−5 (cdt),405
224,Columbia,Missouri,123180,108500,+13.53,65.0  ,168.3 ,1856 ,717, ﻿38.951561°N 92.328638°W﻿ ,brian treece[3],utc-5 (cdt),573
225,Abilene,Texas,122999,117063,+5.07,106.7  ,276.4 ,1146 ,442, ﻿32.4545°N 99.7381°W﻿ ,nan,utc−5 (cdt),325
226,Wilmington,North Carolina,122607,106476,+15.15,51.6  ,133.6 ,2278 ,880, ﻿34.2092°N 77.8858°W﻿ ,nan,nan,nan
227,Hartford,Connecticut,122587,124775,−1.75,17.4  ,45.1 ,7083 ,2735, ﻿41.7659°N 72.6816°W﻿ ,luke bronin ,utc−4 (edt),860/959
228,Victorville,California,122312,115903,+5.53,73.3  ,189.8 ,1668 ,644, ﻿34.5277°N 117.3536°W﻿ ,gloria garcia[4],utc-7 (pdt),442/760[10]
229,Pearland,Texas,122149,91252,+33.86,46.3  ,119.9 ,2453 ,947, ﻿29.5558°N 95.3231°W﻿ ,nan,nan,nan
230,Vallejo,California,121913,115942,+5.15,30.7  ,79.5 ,3951 ,1525, ﻿38.1079°N 122.2640°W﻿ ,bob sampayan[2],utc−7 (pdt),707
231,Ann Arbor,Michigan,121890,113934,+6.98,28.1  ,72.8 ,4298 ,1659, ﻿42.2761°N 83.7309°W﻿ ,christopher taylor ,utc-4 (edt),734
232,Berkeley,California,121643,112580,+8.05,10.5  ,27.2 ,11547 ,4458, ﻿37.8670°N 122.2991°W﻿ ,jesse arreguín[3],utc−7 (pdt),510
233,Allentown,Pennsylvania,121433,118032,+2.88,17.5  ,45.3 ,6882 ,2657, ﻿40.5936°N 75.4784°W﻿ ,ray o'connell ,utc−4 (edt),610 484
234,Richardson,Texas,120981,99223,+21.93,28.6  ,74.1 ,3963 ,1530, ﻿32.9723°N 96.7081°W﻿ ,nan,utc−5 (cdt),214 469 972
235,Odessa,Texas,120568,99940,+20.64,45.2  ,117.1 ,2608 ,1007, ﻿31.8838°N 102.3411°W﻿ ,nan,utc−5 (cdt),432
236,Arvada,Colorado,120492,106433,+13.21,38.6  ,100.0 ,3043 ,1175, ﻿39.8337°N 105.1503°W﻿ ,marc williams[5] ,utc−6 (mdt),both 303 and 720
237,Cambridge,Massachusetts,118977,105162,+13.14,6.4  ,16.6 ,17289 ,6675, ﻿42.3760°N 71.1187°W﻿ ,marc c. mcgovern,utc−4 (eastern),617 / 857
238,Sugar Land,Texas,118600,78817,+50.48,34.0  ,88.1 ,3488 ,1347, ﻿29.5994°N 95.6142°W﻿ ,nan,nan,nan
239,Beaumont,Texas,118428,118296,+0.11,82.1  ,212.6 ,1441 ,556, ﻿30.0849°N 94.1453°W﻿ ,nan,utc−5 (cdt),409
240,Lansing,Michigan,118427,114297,+3.61,39.1  ,101.3 ,2967 ,1146, ﻿42.7143°N 84.5593°W﻿ ,andy schor ,utc-4 (edt),517
241,Evansville,Indiana,117963,117429,+0.45,47.3  ,122.5 ,2526 ,975, ﻿37.9877°N 87.5347°W﻿ ,lloyd winnecke ,utc-5 (cdt),812 & 930
242,Rochester,Minnesota,116961,106769,+9.55,54.6  ,141.4 ,2088 ,806, ﻿44.0154°N 92.4772°W﻿ ,kim norton[2] ,utc−5 (cdt),507
243,Independence,Missouri,116925,116830,+0.08,77.8  ,201.5 ,1504 ,581, ﻿39.0855°N 94.3521°W﻿ ,eileen weir,utc−5 (cdt),816
244,Fairfield,California,116884,105321,+10.98,40.9  ,105.9 ,2806 ,1083, ﻿38.2593°N 122.0321°W﻿ ,harry t. price[3],utc−7 (pdt),707
245,Provo,Utah,116702,112488,+3.75,41.7  ,108.0 ,2803 ,1082, ﻿40.2453°N 111.6448°W﻿ ,michelle kaufusi,utc−6 (mdt),385 801
246,Clearwater,Florida,116478,107685,+8.17,25.9  ,67.1 ,4415 ,1705, ﻿27.9789°N 82.7666°W﻿ ,nan,nan,nan
247,College Station,Texas,116218,93857,+23.82,51.0  ,132.1 ,2199 ,849, ﻿30.5852°N 96.2964°W﻿ ,karl mooney,utc-5 (cdt),979
248,West Jordan,Utah,116046,103712,+11.89,32.3  ,83.7 ,3520 ,1360, ﻿40.6024°N 112.0008°W﻿ ,nan,utc−6 (mdt),385 801
249,Carlsbad,California,115877,105328,+10.02,37.7  ,97.6 ,3023 ,1167, ﻿33.1239°N 117.2828°W﻿ ,carl armstrong-champ,utc−7 (pdt),442/760
250,El Monte,California,115586,113475,+1.86,9.6  ,24.9 ,12063 ,4658, ﻿34.0746°N 118.0291°W﻿ ,andre quintero[2],utc−7 (pdt),626
